;ID;Start time;Completion time;REF;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27
14;14;4/23/24 12:13:07;4/23/24 12:56:30;anonymous;Sonificación 1;A la izquierda;Sonificación 3;Sonificación 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 1;"Posición derecha;Galaxia vieja;Lejos del centro;";"Cerca del centro;Posición izquierda;Región de formación estelar;";Muy buena;Muy útil;Aceptable;Ninguna;Muy básica;Variada (un poco de todo);21-30;No;España;Castellano;Sí, utilicé auriculares.;"No lo sé.;";
15;15;4/23/24 12:44:04;4/23/24 13:08:00;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 2;Espectro 1;Espectro 1;Espectro 3;Espectro 3;Espectro 1;Espectro 3;Espectro 1;Espectro 1;"Posición derecha;Galaxia vieja;Cerca del centro;";"Lejos del centro;Posición izquierda;Galaxia vieja;";Muy buena;Útil;Aceptable;Mucha experiencia (profesional);Bastante experiencia (amateur);Clasica, Jazz, Cantautores;41-50;No;España;Italiano;Sí, utilicé auriculares.;"Estéreo;";
16;16;4/24/24 13:08:29;4/24/24 13:33:33;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 1;Espectro 2;Espectro 2;Espectro 1;Espectro 3;Espectro 1;Espectro 1;"Posición derecha;Galaxia vieja;Lejos del centro;";"Posición izquierda;Región de formación estelar;Cerca del centro;";XXX;Útil;Aceptable;Ninguna;Bastante experiencia (amateur);Rock, Noise, Rock-Noise, Pop-Rock, Shoegaze, Electrónica experimental, Indie, Turbofolk, Cantautor, Rock Progresivo;21-30;No;España;Castellano ;Sí, utilicé auriculares.;"Estéreo;No lo sé.;";
17;17;4/24/24 20:09:26;4/24/24 20:17:02;anonymous;Sonificación 2;A la izquierda;Sonificación 3;Sonificación 3;Espectro 1;Espectro 3;Espectro 2;Espectro 3;Espectro 2;Espectro 2;Espectro 3;Espectro 1;"Galaxia vieja;Lejos del centro;Posición derecha;";"Cerca del centro;Posición izquierda;Región de formación estelar;";Aceptable;Útil;Aceptable;Ninguna;Muy básica;Todo tipo;41-50;No;España;Español;Sí, utilicé auriculares.;"Estéreo;Circum-aurales;";
18;18;4/24/24 21:49:28;4/24/24 22:03:07;anonymous;Sonificación 1;A la izquierda;Sonificación 1;Sonificación 4;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 1;Espectro 3;Espectro 2;Espectro 3;"Posición izquierda;";"Lejos del centro;Galaxia vieja;";Aceptable;Útil;Aceptable;Ninguna;Muy básica;Sobre todo clasica;Más de 60;No;España;Español;No, no lo hice.;"No lo sé.;";
19;19;4/25/24 11:19:03;4/25/24 11:32:28;anonymous;Sonificación 2;A la izquierda;Sonificación 3;Sonificación 2;Espectro 2;Espectro 1;Espectro 3;Espectro 1;Espectro 2;Espectro 2;Espectro 1;Espectro 1;"Posición derecha;Región de formación estelar;Lejos del centro;";"Galaxia vieja;Posición izquierda;Lejos del centro;";Muy buena;Muy útil;Buen sonido;Mucha experiencia (profesional);Ninguna;Techno melódico;21-30;No;España;Español;Sí, utilicé auriculares.;"Estéreo;Circum-aurales;";Todo mi apoyo para este proyecto tan necesario!
20;20;4/25/24 11:30:57;4/25/24 11:46:09;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 3;"Galaxia vieja;Cerca del centro;Posición derecha;";"Posición izquierda;Región de formación estelar;";Muy buena;Útil;Buen sonido;Mucha experiencia (profesional);Muy básica;Pop, rock, música española/latina y francesa, techno,...;21-30;No;España;Francés ;Sí, utilicé auriculares.;"Audio 3D / Gaming;";
21;21;4/25/24 14:36:30;4/25/24 15:03:00;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 1;Espectro 2;Espectro 1;Espectro 3;Espectro 3;Espectro 2;Espectro 1;"Posición derecha;Lejos del centro;Región de formación estelar;";"Posición izquierda;Lejos del centro;Galaxia vieja;";XXX;Útil;Aceptable;Mucha experiencia (profesional);Algo de experiencia (hobby/entusiasta);jazz, clásica;41-50;No;españa;español;Sí, utilicé auriculares.;"Circum-aurales;";
22;22;4/25/24 16:04:38;4/25/24 16:19:51;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 3;Espectro 1;Espectro 2;Espectro 1;Espectro 3;Espectro 3;Espectro 2;Espectro 1;Espectro 1;"Cerca del centro;";"Posición izquierda;";Muy buena;Muy útil;Muy buen sonido;Ninguna;Ninguna;Clásica ;Más de 60;No;ESPAÑA;ESPAÑOLA ;Sí, utilicé auriculares.;"No lo sé.;";Me parece un trabajo extraordinario 
23;23;4/26/24 12:04:50;4/26/24 12:17:55;anonymous;Sonificación 1;A la derecha;Sonificación 1;Sonificación 3;Espectro 2;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 3;Espectro 1;Espectro 1;"Cerca del centro;Región de formación estelar;Posición izquierda;";"Cerca del centro;Posición derecha;Región de formación estelar;";XXX;Útil;Buen sonido;Ninguna;Ninguna;Clasica;51-60;No;España ;Castellano ;Sí, utilicé auriculares.;"Estéreo;";
24;24;4/26/24 19:24:11;4/26/24 19:40:14;anonymous;Sonificación 2;A la izquierda;Sonificación 3;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 1;Espectro 3;Espectro 3;"Posición izquierda;Galaxia vieja;";"Región de formación estelar;Lejos del centro;";XXX;Muy útil;Aceptable;Ninguna;Ninguna;Electrónica;21-30;No;España;Español;Sí, utilicé auriculares.;"Estéreo;";
25;25;4/26/24 21:38:11;4/26/24 21:55:22;anonymous;Sonificación 1;A la izquierda;Sonificación 3;Sonificación 3;Espectro 1;Espectro 3;Espectro 2;Espectro 3;Espectro 1;Espectro 3;Espectro 1;Espectro 2;"Posición izquierda;";"Región de formación estelar;";Buena;Útil;Aceptable;Ninguna;Ninguna;Rock and roll;Más de 60;No;España ;Español;Sí, utilicé auriculares.;"No lo sé.;";
26;26;4/26/24 19:53:36;4/27/24 0:52:27;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 3;Espectro 1;"Posición derecha;Lejos del centro;Galaxia vieja;";"Posición izquierda;Cerca del centro;Región de formación estelar;";Muy buena;Muy útil;Muy buen sonido;Ninguna;Muy básica;Jazz;41-50;No;España;Mallorquín;Sí, utilicé auriculares.;"Estéreo;";
27;27;4/27/24 23:28:51;4/27/24 23:58:21;anonymous;Sonificación 2;A la izquierda;Sonificación 3;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 1;Espectro 3;Espectro 1;Espectro 1;"Galaxia vieja;Cerca del centro;Posición derecha;";"Cerca del centro;Posición izquierda;Galaxia vieja;";Buena;Útil;Buen sonido;Ninguna;Ninguna;Jazz, Rock, Blues, Alternativo, Lofi, Metal.;21-30;No;México;Español;Sí, utilicé auriculares.;"Audio 3D / Gaming;";
28;28;4/29/24 11:22:35;4/29/24 11:31:38;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 2;Espectro 3;Espectro 3;Espectro 1;Espectro 2;Espectro 3;"Posición derecha;Lejos del centro;Galaxia vieja;";"Galaxia vieja;Cerca del centro;";XXX;Útil;Aceptable;Mucha experiencia (profesional);Algo de experiencia (hobby/entusiasta);Música clásica, latino, pop-rock.;21-30;No;España;Español;Sí, utilicé auriculares.;"Intra-aurales;";
29;29;4/30/24 11:11:36;4/30/24 11:37:53;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 3;Espectro 1;Espectro 2;"Región de formación estelar;Posición derecha;Cerca del centro;";"Posición izquierda;Galaxia vieja;Cerca del centro;";XXX;Muy útil;Buen sonido;Ninguna;Mucha experiencia (professional);Rock psicodelico, Jazz, Reggae, Electronica;31-40;No;España;Castellano;Sí, utilicé auriculares.;"Estéreo;Intra-aurales;";
30;30;5/2/24 14:19:24;5/2/24 14:47:41;anonymous;Sonificación 2;A la derecha;Sonificación 3;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;"Lejos del centro;Región de formación estelar;Posición derecha;";"Cerca del centro;Posición izquierda;Galaxia vieja;";Muy buena;Muy útil;Muy buen sonido;Ninguna;Algo de experiencia (hobby/entusiasta);R&B, jazz, indie, pop, electrónica;31-40;No;España;Español;Sí, utilicé auriculares.;"Estéreo;";Buen trabajo!
31;31;5/2/24 18:31:56;5/2/24 18:51:31;anonymous;Sonificación 1;A la izquierda;Sonificación 3;Sonificación 2;Espectro 2;Espectro 1;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 1;"Posición izquierda;Galaxia vieja;Cerca del centro;";"Posición izquierda;Región de formación estelar;Lejos del centro;";Muy buena;Muy útil;Buen sonido;Mucha experiencia (profesional);Bastante experiencia (amateur);Jazz;41-50;No;España;Español;Sí, utilicé auriculares.;"Estéreo;";La diferencia entre zona con formación estelar y galaxias más antiguas no es muy fácil de escuchar, para mí.
32;32;5/3/24 12:31:43;5/3/24 13:15:07;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 1;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 3;Espectro 2;"Posición derecha;Lejos del centro;Galaxia vieja;";"Posición izquierda;";XXX;Muy útil;Muy buen sonido;Algo de experiencia (hobby/entusiasta);Algo de experiencia (hobby/entusiasta);Experimental;31-40;No;España;Castellano;Sí, utilicé auriculares.;"Estéreo;Circum-aurales;";
33;33;5/5/24 23:19:51;5/5/24 23:38:24;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 3;Espectro 3;Espectro 1;"Cerca del centro;Posición derecha;Región de formación estelar;";"Posición izquierda;Lejos del centro;Galaxia vieja;";Muy buena;Muy útil;Muy buen sonido;Ninguna;Bastante experiencia (amateur);Jazz, rock, clásica, blues;41-50;No;España;Español;Sí, utilicé auriculares.;"Circum-aurales;";"La reverberación no se aprecia claramente cuando se escucha el sonido ya iniciado, continuo, sin el ""golpe"" inicial"
34;34;5/6/24 11:21:54;5/6/24 11:42:11;anonymous;Sonificación 2;A la derecha;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 2;Espectro 1;Espectro 3;Espectro 1;Espectro 3;Espectro 3;"Posición derecha;Lejos del centro;Región de formación estelar;";"Lejos del centro;Posición derecha;Galaxia vieja;";Aceptable;De dudosa utilidad;Aceptable;Mucha experiencia (profesional);Bastante experiencia (amateur);Clásica y pop;51-60;No;España;Español;Sí, utilicé auriculares.;"Estéreo;";Salvo la posición de los sonidos, las demás características me han parecido extremadamente difíciles de identificar
35;35;5/8/24 22:32:24;5/8/24 22:47:20;anonymous;Sonificación 2;A la izquierda;Sonificación 3;Sonificación 2;Espectro 1;Espectro 1;Espectro 1;Espectro 3;Espectro 3;Espectro 1;Espectro 1;Espectro 1;"Lejos del centro;Posición derecha;";"Posición izquierda;Cerca del centro;Galaxia vieja;";Buena;De dudosa utilidad;Buen sonido;Ninguna;Bastante experiencia (amateur);The todo;51-60;No;España;Castellano ;Sí, utilicé auriculares.;"Estéreo;";
36;36;5/24/24 1:59:41;5/24/24 4:34:47;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 1;Espectro 3;Espectro 3;Espectro 3;Espectro 1;"Cerca del centro;Región de formación estelar;";"Posición izquierda;";Buena;Útil;Buen sonido;Mucha experiencia (profesional);Algo de experiencia (hobby/entusiasta);Clásica, Rock, Electrónica, un poco de todo;41-50;No;España;español;Sí, utilicé auriculares.;"Estéreo;";Un trabajo muy interesante. Enhorabuena
37;37;5/25/24 11:00:56;5/25/24 11:10:50;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 1;Espectro 3;"Lejos del centro;Posición derecha;Región de formación estelar;";"Galaxia vieja;Posición izquierda;Cerca del centro;";Muy buena;Muy útil;Buen sonido;Algo de experiencia (hobby/entusiasta);Mucha experiencia (professional);Todo tipo de música;41-50;No;España;Español;Sí, utilicé auriculares.;"Estéreo;";
38;38;5/26/24 21:53:07;5/26/24 22:10:15;anonymous;Sonificación 2;A la derecha;Sonificación 1;Sonificación 2;Espectro 1;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 1;Espectro 1;Espectro 2;"Posición derecha;Lejos del centro;Región de formación estelar;";"Galaxia vieja;Cerca del centro;Posición izquierda;";XXX;Útil;Mal sonido;Mucha experiencia (profesional);Bastante experiencia (amateur);Rock;41-50;No;España;Español;No, no lo hice.;"No lo sé.;";
39;39;6/14/24 12:39:07;6/14/24 19:32:03;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 3;Espectro 2;Espectro 3;Espectro 3;Espectro 1;Espectro 2;Espectro 3;Espectro 1;Espectro 3;"Posición derecha;Galaxia vieja;Cerca del centro;";"Lejos del centro;Posición izquierda;Región de formación estelar;";Buena;De dudosa utilidad;Aceptable;Mucha experiencia (profesional);Muy básica;Rock;41-50;No;España;italiano;Sí, utilicé auriculares.;"Estéreo;";
40;40;6/24/24 18:07:27;6/24/24 18:18:36;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 1;Espectro 1;Espectro 3;Espectro 3;Espectro 3;Espectro 1;Espectro 3;Espectro 2;Espectro 1;"Galaxia vieja;Lejos del centro;Posición derecha;";"Región de formación estelar;Posición izquierda;Cerca del centro;";XXX;Útil;Aceptable;Mucha experiencia (profesional);Algo de experiencia (hobby/entusiasta);Rock, Blues, Jazz;21-30;No;España;Español;Sí, utilicé auriculares.;"Intra-aurales;";
41;1;4/25/24 9:19:19;4/25/24 9:23:16;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 3;Espectro 2;Espectro 1;Espectro 3;Espectro 2;Espectro 2;Espectro 2;Espectro 3;"Lejos del centro;";"Posición derecha;";Mala;Inútil;Aceptable;Mucha experiencia (profesional);Muy básica;Toda;41-50;No;España;Español;No, no lo hice.;"No lo sé.;";
42;2;4/25/24 9:45:02;4/25/24 12:17:33;anonymous;Sonificación 2;A la izquierda;Sonificación 3;Sonificación 2;Espectro 2;Espectro 1;Espectro 1;Espectro 1;Espectro 3;Espectro 3;Espectro 1;Espectro 3;"Posición derecha;Lejos del centro;Región de formación estelar;";"Región de formación estelar;Posición izquierda;Cerca del centro;";Muy buena;De dudosa utilidad;Muy buen sonido;Mucha experiencia (profesional);Algo de experiencia (hobby/entusiasta);Música clásica;41-50;No;Spain;Catalan ;Sí, utilicé auriculares.;"Estéreo;Circum-aurales;";
43;3;4/25/24 11:55:21;4/25/24 12:18:21;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 1;Espectro 1;"Posición derecha;Lejos del centro;Galaxia vieja;";"Lejos del centro;Posición izquierda;Región de formación estelar;";XXX;Útil;Buen sonido;Mucha experiencia (profesional);Muy básica;Rock suave, reggae, hip-hop, flamenco;21-30;No;España;Euskara, Castellano;Sí, utilicé auriculares.;"Audio 3D / Gaming;";Me hubiese ayudado una explicación más detallada de los sonidos, sobre todo para identificar galaxias y para la distancia al centro
44;4;4/26/24 23:27:16;4/27/24 0:15:56;anonymous;Sonificación 2;A la izquierda;Sonificación 1;Sonificación 4;Espectro 1;Espectro 3;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 1;"Cerca del centro;Posición izquierda;Región de formación estelar;";"Lejos del centro;Galaxia vieja;Posición izquierda;";Buena;Útil;Mal sonido;Mucha experiencia (profesional);Ninguna;Rock;41-50;No;España;Español;No, no lo hice.;"No lo sé.;";
45;5;4/27/24 10:16:07;4/27/24 10:37:46;anonymous;Sonificación 1;A la izquierda;Sonificación 3;Sonificación 2;Espectro 2;Espectro 3;Espectro 1;Espectro 3;Espectro 1;Espectro 3;Espectro 3;Espectro 2;"Cerca del centro;Posición derecha;Región de formación estelar;";"Lejos del centro;Posición izquierda;Región de formación estelar;";Buena;De dudosa utilidad;Muy buen sonido;Mucha experiencia (profesional);Bastante experiencia (amateur);Clásica ;Más de 60;No;España ;Español;Sí, utilicé auriculares.;"Intra-aurales;Estéreo;";
46;1;4/17/24 9:12:01;4/17/24 9:28:15;anonymous;Sonification 2;Left;Sonification 3;Sonification 3;Spectrum 2;Spectrum 1;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 1;Spectrum 3;"Right position;Far from the center;Retired galaxy.;Star forming region.;";"Close to the center;Left position;Retired galaxy.;";XXX;Useful;Bad;No experienced;Very experienced (professional);Early music ;41-50;No;Spain;Spanish;Yes, I used headphones;;
47;2;4/17/24 11:32:00;4/17/24 12:09:06;anonymous;Sonification 1;Left;Sonification 2;Sonification 2;Spectrum 1;Spectrum 3;Spectrum 2;Spectrum 3;Spectrum 2;Spectrum 2;Spectrum 2;Spectrum 1;"Retired galaxy;Right position;";"Left position;Retired galaxy;";Good;Useful;Acceptable;Very experienced (professional);Not experienced;Rock, trash, grunge, metal;31-40;No;Spain;Spanish;Yes, I used headphones;;
48;3;4/26/24 4:40:27;4/26/24 5:03:39;anonymous;Sonification 1;Right;Sonification 2;Sonification 1;Spectrum 2;Spectrum 1;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;"Far from the center;Left position;Retired galaxy;";"Far from the center;Right position;Star forming region;";Acceptable;Doubtely useful;Bad;Very experienced (professional);Experienced (amateur);Rock, folk, jazz;31-40;No;Spain;Greek;Yes, I used headphones;"Intra-aural;";The localization was not very easy to distinct, especially Left-Right. At least with in-ear headphones.
49;4;5/2/24 17:18:28;5/2/24 17:35:06;anonymous;Sonification 1;Left;Sonification 2;Sonification 4;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 3;Spectrum 1;"Close to the center;Retired galaxy;";"Star forming region;Far from the center;";Good;Useful;Good;Very experienced (professional);Experienced (amateur);classical, indie;41-50;No;Canada;Swedish;Yes, I used headphones;"Intra-aural;I don't know;";It was fairly easy in the beginning, but I had a hard time connecting the test sounds to the star forming vs intermediate and old sounds
50;5;5/2/24 20:11:15;5/2/24 20:28:04;anonymous;Sonification 1;Left;Sonification 3;Sonification 2;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 3;Spectrum 1;"Right position;Far from the center;Star forming region;";"Left position;Close to the center;Star forming region;";Good;Useful;Good;Very experienced (professional);Some experienced (hobby/enthusiast);Classical. Rock;Over 60;No;United States;English;Yes, I used headphones;"Stereo;";Use the word Pitch instead of Reverberation -- Pitch goes down.
51;6;5/27/24 2:29:28;5/27/24 2:57:48;anonymous;Sonification 2;Left;Sonification 3;Sonification 2;Spectrum 1;Spectrum 1;Spectrum 1;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;"Far from the center;Right position;Retired galaxy;";"Close to the center;Left position;Retired galaxy;";Good;Useful;Nice sounding;No experienced;Not experienced;Jazz and Pops;41-50;No;Japan;Japanese;Yes, I used headphones;"Stereo;";The age of the stellar was rather difficult for me to distinguish compared to the other parameters. But I believe that it will be useful for well-trained listeners.
52;7;6/1/24 10:16:23;6/1/24 10:29:00;anonymous;Sonification 1;Left;Sonification 2;Sonification 2;Spectrum 2;Spectrum 3;Spectrum 2;Spectrum 2;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 1;"Right position;Retired galaxy;Close to the center;";"Left position;Star forming region;Far from the center;";XXX;Doubtedly useful;Acceptable;Very experienced (professional);Experienced (amateur);Classical but also rock;41-50;No;Germany;Spanish;Yes, I used headphones;"Stereo;";
